           Persona      |S/F |PP |Res. Fecha                          | Res. P/S   | Res. Nro.   |  OI  |                Lugar Destino       |    Evento Destino     | Mision Días | Mision Inicio | Mision Fin   | Pasaje U$S | Seg. Viaj. U$S | Viático U$S | Devolución U$S |  Fecha Informe |Informe U$S | Total del viaje U$S  |      Observaciones
Heber, Luis A           |Sen |N  |11/08/10                            | Sec   |     61/2010      |  UIP |Ginebra - Suiza                     | 22a. Sesión del Com. Directivo de la Conf. Parl. de la O.M.C.   | 5  |  14/09/10 |   18/09/10 |  2.279,00    |  48,00 | 1.986,00  |    26,00 | 30/09/10  |  1.960,00    | 4.287,00
Heber, Luis A           |Sen |N  |20/09/10                            | Sec   |     84/2010      |  UIP |Ginebra - Suiza                     | 123 Asamblea de la Unión Interparlamentaria                     | 9  |  01/10/10 |   09/10/10 |  2.240,00    |  90,00 | 3.575,00  |    45,00 | 25/11/10  |  3.530,00    | 5.860,00
Heber, Luis A           |Sen |N  |15/03/11                            | Sec   |    156/2011      |  UIP |Ginebra, Suiza                      | Confer. Interparlament. anual de la OMC organizada por la UIP   | 6  |  19/03/11 |   24/03/11 |  2.110,00    |  67,00 | 2.750,00  |    40,00 | 01/04/11  |  2.710,00    | 4.887,00
Heber, Luis A           |Sen |N  |06/04/11                            | Sec   |    165/2011      |  UIP |Ciudad de Panamá, Panamá            | 124 Asamblea de la UIP                                          | 7  |  14/04/11 |   20/04/11 |              |        | 1.915,00  |    18,00 | 28/04/11  |  1.897,00    | 1.897,00
Heber, Luis A           |Sen |N  |06/09/11                            | Sec   |    249/2011      |  UIP |Ginebra, Suiza                      | 24a. Sesión de Comité de Cond. De la Conf. Parlam. UIP          | 6  |  18/09/11 |   23/09/11 |  2.440,00    |  60,00 | 2.910,00  |     5,00 | 03/10/11  |  2.905,00    | 5.405,00
Heber, Luis A           |Sen |N  |04/10/11                            | Sec   |    263/2011      |  UIP |Berna, Suiza                        | 125a. Asamblea de la Unión Interparlamentaria                   | 8  |  13/10/11 |   20/10/11 |              |        | 4.660,00  |  110,00  | 18/11/11  |  4.550,00    | 4.550,00
Larrañaga, Jorge        |Sen |N  |16/03/10                            | Sec   |   06-07/2010     |  UIP |Bangkok - Tailandia                 | 122a. Asamblea de la Unión Interparlamentaria                   | 13 |  22/03/10 |   03/04/10 |  8.795,00    | 104,00 | 3.943,00  |  253,00  | 15/04/10  |  3.690,00    | 12.589,00
Larrañaga, Jorge        |Sen |N  |21/05/10                            | Sec   |     29/2010      |  PAR |Ciudad de México,, México           | VI Seminario del Foro Parlamentario Interamericano              | 6  |  25/05/10 |   30/05/10 |              |  48,00 |           |          |           |              |  48,00
Larrañaga, Jorge        |Sen |N  |20/09/10                            | Sec   |   84-88/2010     |  UIP |Ginebra - Suiza                     | 123 Asamblea de la Unión Interparlamentaria                     | 7  |  01/10/10 |   07/10/10 |  2.240,00    |  70,00 | 3.177,00  |  822,00  | 14/10/10  |     2.355,00 |  4.665,00
Larrañaga, Jorge        |Sen |N  |06/04/11                            | Sec   |    165/2011      |  UIP |Ciudad de Panamá, Panamá            | 124 Asamblea de la UIP                                          | 9  |  13/04/11 |   21/04/11 |              |        | 2.470,00  |          | 27/04/11  |  2.648,00    |  2.470,00
Larrañaga, Jorge        |Sen |N  |04/10/11                            | Sec   |    263/2011      |  UIP |Berna, Suiza                        | 125a. Asamblea de la Unión Interparlamentaria                   | 8  |  13/10/11 |   20/10/11 |              |        | 4.660,00  |  850,00  | 10/11/11  |     3.810,00 |  3.810,00
Larrobla, Marcelo       |Otr | - |02/09/10                            | Sec   |   75-83/2010     |  OTR |Valparaiso, Chile                   | Bicentenario de la Independencia Nacional de Chile              | 3  |  17/09/10 |   19/09/10 |    795,00    |  40,00 |   690,00  |    20,00 | 08/10/10  |      670,00  | 1.505,00
Larrobla, Marcelo       |Otr | - |15/11/10                            | Sec   |    124/2010      |  OTR |República de Corea del Sur          | Visita Oficial a la República de Corea del Sur                  | 9  |  20/11/10 |   28/11/10 |  2.193,00    |  86,00 |   970,00  |          | 10/12/10  |    970,00    |  3.249,00
Moreira, Carlos         |Sen |N  |11/06/10                            | Sec   |     37/2010      |  OTR |Quito - Rep. de Ecuador             | Cumbre de Pres. de los Parl. de Naciones int. UNASUR            | 5  |  12/06/10 |   16/06/10 |  1.201,00    |  45,00 | 1.188,00  |          | 02/09/10  |  1.188,00    |  2.434,00
Pascal, Renán           |Fun | - |23/08/10                            | Sec   |     67/2010      |  OTR |Seúl, Rep. de Corea                 | 17a. Reunión Anual de Directores del Glin                       | 10 |  03/09/10 |   12/09/10 |  3.515,00    |  96,00 | 1.900,00  |    82,00 | 04/10/10  |    1.818,00  |    5.429,00
Pascal, Renán           |Fun | - |12/08/11                            | Sec   |    230/2011      |  OTR |Washington, EEUU                    | 18a. Reunión Anual de Directores del GLIN                       | 7  |  05/09/11 |   11/09/11 |  1.230,00    |  77,00 | 1.820,00  |    41,00 | 06/10/11  |    1.779,00  |    3.086,00
Penadés, Gustavo        |Sen |N  |18/03/10                            | Sec   |     08/2010      |  MER |Bs. As. - Argentina                 | Com. Asuntos Jurídicos e Institucionales del Parl. Mercosur     | 3  |  21/03/10 |   23/03/10 |    290,00    |  24,00 |   948,00  |   100,00 | 13/04/10  |      848,00  |    1.162,00
